paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
Zggz6seq6F,4.0,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,6.0,3.0,5.0,6.0,,,
E4Fk3YuG56,7.5,Accept,8.50,Accept (Oral),Accept,YES,0.0000,0.0000,10.0,8.0,6.0,10.0,,,
9mjZ800m7Y,6.5,Accept,6.50,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,6.0,6.0,6.0,,,
6fDjUoEQvm,6.0,Accept,6.75,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,5.0,6.0,8.0,,,
OYT7yZfBFw,5.0,Reject,6.25,Reject,Reject,YES,0.0000,0.0000,8.0,5.0,6.0,6.0,,,
YK8eO7BEkJ,3.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
AC3713Fmhx,5.5,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,6.0,,
1c73HCZpbo,3.5,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,3.0,3.0,,,
CPhqrV5Ehg,6.5,Accept,6.00,Reject,Reject,NO,0.0000,0.0000,8.0,3.0,5.0,6.0,8.0,,
fL8Zp8o6RL,5.0,Reject,5.50,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,5.0,5.0,,,
fO0YO9giQV,4.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,3.0,,,
