paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
9hpcTgztk8,4.0,Reject,4.25,Reject,Reject,YES,0.0000,0.0000,5.0,6.0,3.0,3.0,,,
GPDcvoFGOL,6.5,Accept,6.75,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,8.0,6.0,5.0,,,
9VMW4iXfKt,6.0,Accept,5.50,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,5.0,6.0,5.0,,,
DKA7Hx7PSt,5.5,Reject,5.50,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,5.0,5.0,,,
Vi1PJjvEdh,4.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,1.0,3.0,,,
bB0OKNpznp,4.0,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,6.0,,
iMI4HRpZFc,5.0,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,5.0,5.0,,,
Y4aWwRh25b,5.5,Reject,6.75,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,6.0,8.0,5.0,,,
57EjN072hl,4.0,Reject,4.33,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,5.0,,,,
YK8eO7BEkJ,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
5sU32OCxgZ,5.5,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
aMBSY2ebPw,6.0,Accept,7.33,Accept (Spotlight),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,,,,
fgaNjiijS1,4.5,Reject,5.75,Reject,Reject,YES,0.0000,0.0000,8.0,6.0,6.0,3.0,,,
Fu0aggezN9,5.0,Reject,7.00,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,6.0,8.0,6.0,,,
F0Zd3knG9j,5.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,5.0,,,,
i8LCUpKvAz,6.0,Accept,7.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,6.0,,,
1yJP5TVWih,4.5,Reject,6.25,Accept (Poster),Accept,NO,0.0000,0.0000,5.0,8.0,6.0,6.0,,,
EW6bNEqalF,5.5,Reject,7.00,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,8.0,6.0,6.0,,,
iXbUquaWbl,6.5,Accept,6.50,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,8.0,6.0,,,
7ZToWPWUlO,4.0,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,3.0,5.0,,,
bBoetBIN2R,4.0,Reject,6.25,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,8.0,5.0,6.0,,,
FFwoaUFBVC,4.5,Reject,4.67,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,6.0,,,,
gVnJFY8nCM,5.5,Reject,6.25,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,8.0,5.0,6.0,,,
lTkHiXeuDl,5.0,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
66NzcRQuOq,6.0,Accept,7.00,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,5.0,6.0,8.0,8.0,,
5E6VOD7W0z,5.5,Reject,4.50,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,5.0,3.0,,,
kFsWpSxkFz,5.5,Reject,7.50,Accept (Spotlight),Accept,NO,0.0000,0.0000,8.0,8.0,6.0,8.0,,,
eFoj2egr7G,6.0,Accept,6.00,Reject,Reject,NO,0.0000,0.0000,6.0,5.0,8.0,5.0,6.0,,
i3f2N3iHl0,2.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,1.0,1.0,,,
rpbzBXdo4x,5.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,3.0,6.0,,,
oegbNuUrXV,4.5,Reject,4.20,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,3.0,3.0,5.0,,
9mjZ800m7Y,5.5,Reject,6.50,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,6.0,6.0,6.0,,,
5T3gpfUam7,5.5,Reject,4.67,Reject,Reject,YES,0.0000,0.0000,6.0,3.0,5.0,,,,
gpKEDj9Dgg,2.5,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,1.0,5.0,1.0,1.0,,,
hKcDOfDxgn,4.5,Reject,3.75,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,6.0,,,
4LiegvCeQD,4.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,1.0,,,
gAEEjGv5Oa,6.0,Reject,4.50,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,6.0,3.0,,,
7d2JwGbxhA,5.5,Reject,5.75,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,8.0,3.0,,,
7wuJMvK639,6.5,Accept,6.50,Accept (Poster),Accept,YES,0.0000,0.0000,5.0,5.0,8.0,8.0,,,
q5zMyAUhGx,5.5,Reject,6.20,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,5.0,6.0,6.0,8.0,,
AC3713Fmhx,5.5,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,6.0,,
DCandSZ2F1,6.0,Accept,6.50,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,6.0,8.0,,,
u438df0Uce,5.5,Reject,3.60,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,3.0,6.0,,
V7PYbRzD0h,5.0,Reject,5.33,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,6.0,,,,
tlH4vDii0E,3.0,Reject,5.60,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,5.0,6.0,6.0,,
BINwUtUGuq,5.5,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,6.0,6.0,,,
OEC6zOuZG1,5.0,Reject,4.83,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,6.0,6.0,3.0,3.0,
A2rfALKFBg,5.5,Reject,4.67,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,5.0,,,,
