paper_id,title,decision,gt_binary,avg_score,score_0,score_1,score_2,score_3,score_4,score_5
ndIEb3Bghf,CharFxReg : Characteristic Function based Regularisation,Reject,Reject,1.33,0,2,2,,,
83F6YF4Hz6,SPELL: Self-Play Reinforcement Learning for Evolving Long-Context Language Models,Accept (Poster),Accept,6.00,6,6,4,8,,
knHHCx1prj,Recurrent Deep Differentiable Logic Gate Networks,Reject,Reject,0.00,0,0,0,,,
xcBV0fK0ZK,Adversarial Robustness of LLM-Based Multi-Agent Systems for Engineering Problems,Withdrawn (treated as Reject),Reject,1.50,2,2,2,0,,
XJXZXuTj11,QVGen: Pushing the Limit of Quantized Video Generative Models,Accept (Poster),Accept,6.80,6,6,8,8,6,
o8kbAXPu7P,Inductive Reasoning for Temporal Knowledge Graphs with Emerging Entities,Accept (Poster),Accept,6.00,6,6,6,6,,
gkTx4sPyAw,Improving Tool Calling Accuracy for Large Language Models,Reject,Reject,1.00,0,2,2,0,,
Dxb9zYD23D,Time Series as Videos: Spectro-Temporal Generative Diffusion,Withdrawn (treated as Reject),Reject,3.50,4,4,2,4,,
5o0zF03RP9,IncentRL: Bayesian Adaptation of Preference Gaps in Reinforcement Learning,Withdrawn (treated as Reject),Reject,0.50,2,0,0,0,,
Ic65R0Tbc1,Repairing Reward Functions with Human Feedback to Mitigate Reward Hacking,Reject,Reject,5.00,4,6,8,2,,
5SQo2E9Ujj,Curriculum as Selective Data Acquisition: Toward Reliable Generalization in Goal-Conditioned RL,Withdrawn (treated as Reject),Reject,0.00,0,0,0,0,0,
oBXfPyi47m,Efficient Reinforcement Learning by Guiding World Models with Non-Curated Data,Accept (Poster),Accept,8.00,6,10,8,8,,
lfsjVdi72l,SEED-SET: Scalable Evolving Experimental Design for System-level Ethical Testing,Accept (Poster),Accept,4.00,4,6,2,,,
DTQIjngDta,$\pi^3$: Permutation-Equivariant Visual Geometry Learning,Accept (Poster),Accept,8.00,8,10,6,,,
YkfhTzq3hL,Hallucination Benchmark for Speech Foundation Models,Reject,Reject,4.50,6,8,2,2,,
ACn1rbjlFB,Adversarial Attack on Tensor Ring Decomposition,Reject,Reject,4.50,6,4,4,4,,
9WiPZy3Kro,Grounding Computer Use Agents on Human Demonstrations,Accept (Poster),Accept,5.50,6,4,6,6,,
OPFE1zPYbU,Rethinking Diffusion Model in High Dimension,Reject,Reject,1.00,0,2,0,2,,
PtgQrxQ9Ak,AReUReDi: Annealed Rectified Updates for Refining Discrete Flows with Multi-Objective Guidance,Reject,Reject,4.00,4,6,2,4,,
VjGU55hEwV,"RLIE: Rule Generation with Logistic Regression, Iterative Refinement, and Evaluation for Large Language Models",Reject,Reject,2.50,2,2,2,4,,
xDO0239YOm,Title: HypoGeneAgent: Hypothesis Language Agent for Gene-set Cluster Resolution Selection Using Perturb-seq Datasets,Reject,Reject,1.33,2,0,2,,,
jymuXl8GYi,Reinforcing Diffusion Models by Direct Group Preference Optimization,Accept (Poster),Accept,6.00,6,4,8,6,,
kI27Niy4xY,Text-to-3D by Stitching a Multi-view Reconstruction Network to a Video Generator,Accept (Oral),Accept,8.00,8,8,8,8,,
SkmkGKEZ1U,O-Forge: An LLM + Computer Algebra Framework for Asymptotic Analysis,Reject,Reject,0.50,0,0,2,0,,
WgMZPsdJmC,An Analysis of the Cauchy Method for Different Steplength Coefficient,Reject,Reject,0.50,0,0,2,0,,
yX1Nn63DwQ,A New Efficient Method For Combining Gradients Of Different Orders,Reject,Reject,0.50,0,0,2,0,,
wyCnT4BUsT,DeepCritic: Deliberate Critique with Large Language Models,Reject,Reject,4.67,6,4,4,,,
txiGUfI4yF,Latent Stochastic Interpolants,Accept (Poster),Accept,7.33,6,10,6,,,
zuYXSoOzYG,Shaping Monotonic Neural Networks with Constrained Learning,Reject,Reject,2.00,2,2,2,2,,
zmYx32SSOR,Advancing Equitable AI: A Comprehensive Framework for Individual Fairness Assessment,Reject,Reject,1.00,0,0,2,2,,
